Marca,Modelo,Ano/Versão_Bruto,Valor_FIPE_Bruto,Mes_Referencia,Codigo_FIPE
VW - VolksWagen,AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2022 Diesel,"R$ 161.227,00",novembro de 2025,005340-6
VW - VolksWagen,AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2021 Diesel,"R$ 157.294,00",novembro de 2025,005340-6
VW - VolksWagen,AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2020 Diesel,"R$ 151.045,00",novembro de 2025,005340-6
VW - VolksWagen,AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2019 Diesel,"R$ 136.875,00",novembro de 2025,005340-6
VW - VolksWagen,AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2018 Diesel,"R$ 133.536,00",novembro de 2025,005340-6
VW - VolksWagen,AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2017 Diesel,"R$ 120.465,00",novembro de 2025,005340-6
VW - VolksWagen,AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2016 Diesel,"R$ 107.378,00",novembro de 2025,005340-6
VW - VolksWagen,AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2015 Diesel,"R$ 101.496,00",novembro de 2025,005340-6
VW - VolksWagen,AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2014 Diesel,"R$ 90.960,00",novembro de 2025,005340-6
VW - VolksWagen,AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2013 Diesel,"R$ 84.100,00",novembro de 2025,005340-6
VW - VolksWagen,AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2012 Diesel,"R$ 80.320,00",novembro de 2025,005340-6
VW - VolksWagen,AMAROK High.CD 2.0 16V TDI 4x4 Dies. Aut,2011 Diesel,"R$ 72.822,00",novembro de 2025,005340-6
